Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Quarter,Price_per_kWh,Range_per_kWh
2022,4,3,4,5516,6061,78125.56,75,446,369.02,2,10655,2,1041.6741333333332,5.946666666666666
2016,6,3,3,5812,5963,56887.7,100,583,508.26,2,12172,2,568.877,5.83
2023,1,0,0,7068,8023,108374.16,82,473,501.47,1,10393,1,1321.6360975609757,5.7682926829268295
2016,3,2,0,11239,11278,94938.01,82,475,800.78,2,9560,1,1157.7806097560974,5.7926829268292686
2018,1,1,0,6558,6780,92977.92,120,675,664.0,0,9931,1,774.816,5.625
2021,11,2,3,3096,3470,70264.85,120,699,324.62,2,8119,4,585.5404166666667,5.825
2023,11,1,4,11523,12683,119313.43,60,332,573.85,1,11006,4,1988.5571666666665,5.533333333333333
2024,1,2,2,14286,14699,93916.29,100,598,1281.45,0,8572,1,939.1628999999999,5.98
2022,4,1,0,13867,15747,51095.03,82,489,1017.14,0,12717,2,623.1101219512195,5.963414634146342
2015,12,3,2,9331,9800,102045.58,82,457,639.64,0,12815,4,1244.4582926829269,5.573170731707317
2025,11,3,4,11488,12841,58543.76,60,335,577.27,0,5538,4,975.7293333333333,5.583333333333333
2016,11,1,0,10434,11337,53061.74,120,667,1043.92,0,9703,4,442.1811666666666,5.558333333333334
2019,9,0,0,9669,10159,50496.43,82,478,693.27,2,12905,3,615.8101219512196,5.829268292682927
2015,5,3,0,13430,13654,84483.76,100,550,1107.97,1,8623,2,844.8376,5.5
2025,1,1,3,6915,7670,102344.36,120,683,708.44,0,5525,1,852.8696666666667,5.691666666666666
2017,8,3,1,13697,14389,59998.94,82,479,984.13,0,5475,3,731.6943902439025,5.841463414634147
2016,2,1,1,8713,9816,106396.91,75,434,567.22,2,13419,1,1418.6254666666666,5.786666666666667
2025,5,1,2,7869,8273,117820.15,82,479,565.39,1,7815,2,1436.8310975609756,5.841463414634147
2016,3,0,2,10719,11219,92723.36,120,702,1128.71,0,6271,1,772.6946666666666,5.85
2024,6,0,4,11536,12976,109244.41,75,437,756.18,2,14448,2,1456.5921333333333,5.826666666666667
2018,2,3,1,10817,10885,79342.8,82,457,741.51,0,13551,1,967.5951219512195,5.573170731707317
2016,9,2,1,9469,10122,110519.45,60,346,491.44,0,7564,3,1841.9908333333333,5.766666666666667
2016,12,0,3,11076,11534,111396.34,60,358,594.78,2,4785,4,1856.6056666666666,5.966666666666667
2018,2,2,1,8065,8093,108446.3,82,490,592.78,2,4625,1,1322.5158536585366,5.975609756097561
2019,9,0,4,7202,7646,66402.75,100,550,594.16,0,13552,3,664.0275,5.5
2024,1,2,4,15113,17144,79023.4,120,661,1498.45,2,13341,1,658.5283333333333,5.508333333333334
2025,10,1,0,16403,17990,89023.22,100,582,1431.98,0,10354,4,890.2322,5.82
2021,12,0,3,11729,12498,78248.4,120,668,1175.25,1,9081,4,652.0699999999999,5.566666666666666
2022,11,1,2,10605,11896,100323.49,82,480,763.56,0,4202,4,1223.4571951219514,5.853658536585366
2019,9,1,4,6575,7546,96648.51,82,462,455.65,1,10029,3,1178.6403658536585,5.634146341463414
2025,12,0,1,8406,8796,70798.2,82,463,583.8,2,13617,4,863.3926829268293,5.646341463414634
2019,7,3,0,9864,11217,64820.01,75,417,616.99,1,12107,3,864.2668,5.56
2016,2,2,4,11285,12244,101691.44,82,487,824.37,0,7849,1,1240.139512195122,5.939024390243903
2019,6,1,4,8596,9054,97775.82,60,349,450.0,2,11583,2,1629.5970000000002,5.816666666666666
2023,4,2,0,14542,16097,69145.2,82,455,992.49,1,9672,2,843.2341463414634,5.548780487804878
2020,8,0,3,11637,11652,64097.94,75,448,782.01,1,10360,3,854.6392000000001,5.973333333333334
2023,9,2,4,16368,18329,116163.28,82,475,1166.22,1,6055,3,1416.6253658536584,5.7926829268292686
2015,1,2,4,10348,10835,85599.95,82,488,757.47,0,5991,1,1043.9018292682927,5.951219512195122
2017,7,0,4,8745,9321,92738.27,60,334,438.12,2,11083,3,1545.6378333333334,5.566666666666666
2017,9,3,4,14122,16111,94546.2,100,566,1198.96,0,6234,3,945.462,5.66
2020,9,0,0,4927,5124,85637.94,100,557,411.65,0,10339,3,856.3794,5.57
2018,12,0,3,13841,14984,60720.12,82,480,996.55,1,10203,4,740.4892682926829,5.853658536585366
2018,4,3,4,14998,15028,55711.91,120,675,1518.55,1,3334,2,464.26591666666667,5.625
2024,4,0,4,12693,13879,95107.73,75,439,835.83,1,6511,2,1268.1030666666666,5.8533333333333335
2019,12,2,1,16992,17643,75519.65,82,485,1236.17,1,5339,4,920.9713414634145,5.914634146341464
2020,4,0,4,12896,14568,71655.8,82,479,926.58,2,3193,2,873.8512195121951,5.841463414634147
2018,6,0,0,8089,8151,77845.54,75,431,522.95,1,8799,2,1037.9405333333332,5.746666666666667
2021,2,3,4,12392,14134,87091.29,60,348,646.86,1,8789,1,1451.5214999999998,5.8
2024,10,2,3,11341,11531,90118.95,100,589,1001.98,2,7400,4,901.1895,5.89
2021,12,0,2,14275,15487,83022.94,82,471,1008.53,1,11786,4,1012.4748780487805,5.7439024390243905
2023,9,1,0,10505,11889,74982.21,82,463,729.57,1,5566,3,914.4171951219513,5.646341463414634
2019,12,0,2,16654,18544,92470.13,75,418,1044.21,0,12569,4,1232.9350666666667,5.573333333333333
2025,11,1,1,7803,8201,72269.28,60,358,419.02,1,12468,4,1204.488,5.966666666666667
2015,11,2,0,12029,12315,111660.95,100,593,1069.98,1,3350,4,1116.6095,5.93
2017,7,3,1,19455,21752,81804.18,100,581,1695.5,0,5980,3,818.0418,5.81
2018,2,2,2,5162,5239,51161.47,100,583,451.42,0,10229,1,511.6147,5.83
2020,6,2,3,14735,15380,62093.01,120,682,1507.39,1,13930,2,517.4417500000001,5.683333333333334
2016,4,3,4,16513,16988,72636.01,75,420,1040.32,1,7259,2,968.4801333333332,5.6
2023,1,2,0,16007,16938,76317.19,82,477,1145.3,2,8937,1,930.6974390243903,5.817073170731708
2022,3,0,1,9544,10884,76473.74,60,347,496.77,1,12504,1,1274.5623333333335,5.783333333333333
2023,3,2,1,10215,11462,104380.22,82,483,740.08,0,11496,1,1272.929512195122,5.890243902439025
2018,11,1,0,7886,8591,107006.87,100,569,673.07,0,4587,4,1070.0687,5.69
2019,12,1,1,8432,8904,60598.73,75,442,559.04,1,11486,4,807.9830666666667,5.8933333333333335
2016,6,3,0,13984,15294,76735.77,100,560,1174.66,2,4456,2,767.3577,5.6
2019,1,2,0,7244,7617,109643.39,82,473,513.96,0,9176,1,1337.114512195122,5.7682926829268295
2018,3,3,0,1627,1708,77620.06,82,472,115.19,0,4936,1,946.5860975609755,5.7560975609756095
2017,9,1,3,7844,7883,111543.0,75,421,495.35,2,9688,3,1487.24,5.613333333333333
2024,9,3,2,10739,12336,118825.12,75,436,702.33,0,8314,3,1584.3349333333333,5.8133333333333335
2024,3,0,2,9135,9417,117887.45,100,551,755.01,0,12429,1,1178.8745,5.51
2021,2,1,4,16194,17499,108854.96,60,331,804.03,2,7401,1,1814.2493333333334,5.516666666666667
2019,7,3,2,10429,10716,57395.52,82,484,757.15,2,9945,3,699.9453658536585,5.902439024390244
2025,10,3,2,834,903,67041.78,75,414,51.79,0,14270,4,893.8904,5.52
2019,11,0,2,12742,13960,106127.81,120,687,1313.06,1,7339,4,884.3984166666667,5.725
2019,1,2,1,16394,17095,94153.93,120,687,1689.4,0,8784,1,784.6160833333332,5.725
2020,9,2,3,7019,8016,79635.06,75,412,433.77,0,8308,3,1061.8008,5.493333333333333
2015,10,0,3,9719,10041,119136.76,82,489,712.89,1,3473,4,1452.8873170731706,5.963414634146342
2015,9,0,0,10844,12086,59807.92,60,356,579.07,1,8849,3,996.7986666666667,5.933333333333334
2020,9,3,0,13042,14469,78765.3,75,436,852.95,0,11391,3,1050.204,5.8133333333333335
2019,5,2,4,10628,11626,55269.51,120,666,1061.74,0,3591,2,460.57925,5.55
2021,10,3,3,14290,16239,51262.24,120,693,1485.45,2,12448,4,427.1853333333333,5.775
2025,8,3,3,5547,5600,73125.04,120,673,559.97,0,13667,3,609.3753333333333,5.608333333333333
2019,4,0,4,2017,2031,77040.14,100,567,171.55,0,6787,2,770.4014,5.67
2017,10,1,4,5477,6185,112026.54,120,671,551.26,0,11849,4,933.5545,5.591666666666667
2015,7,1,4,12003,13676,88973.4,120,694,1249.51,0,6359,3,741.4449999999999,5.783333333333333
2016,6,3,2,8538,8629,50847.59,60,358,458.49,0,11850,2,847.4598333333332,5.966666666666667
2022,10,0,3,15871,17003,87563.63,120,706,1680.74,1,10935,4,729.6969166666667,5.883333333333334
2019,1,1,2,16562,17052,106362.21,60,335,832.24,2,4019,1,1772.7035,5.583333333333333
2019,8,2,3,7950,8493,86261.07,75,412,491.31,1,8072,3,1150.1476,5.493333333333333
2016,4,1,3,5161,5521,54209.96,100,578,447.46,2,14491,2,542.0996,5.78
2017,8,2,3,6555,7430,102498.45,75,446,438.53,0,12104,3,1366.646,5.946666666666666
2016,8,3,4,13536,15492,89211.77,100,596,1210.12,1,3627,3,892.1177,5.96
2020,12,3,2,385,400,92280.35,100,593,34.25,1,14986,4,922.8035000000001,5.93
2025,9,2,0,7166,7176,66599.21,75,421,452.53,2,8064,3,887.9894666666668,5.613333333333333
2022,2,1,1,10944,11395,55575.16,60,342,561.43,0,9651,1,926.2526666666668,5.7
2015,9,2,3,3159,3625,86798.31,82,458,217.02,1,6267,3,1058.515975609756,5.585365853658536
2016,10,1,1,10280,10378,108196.15,100,579,892.82,0,4379,4,1081.9615,5.79
2025,7,0,2,8354,8972,70719.48,100,566,709.25,1,14531,3,707.1948,5.66
2023,2,1,0,6820,7637,90643.38,100,588,601.52,0,6992,1,906.4338,5.88
2018,10,3,2,5201,5401,102648.0,120,690,538.3,1,6850,4,855.4,5.75
2020,4,0,2,11089,11641,102110.95,75,418,695.28,1,4563,2,1361.4793333333332,5.573333333333333
2015,10,3,0,6202,6819,115578.08,60,351,326.54,0,5579,4,1926.3013333333333,5.85
2025,6,0,2,11262,12586,112804.29,100,571,964.59,0,5808,2,1128.0429,5.71
2023,12,3,2,8896,9145,104131.28,75,430,573.79,0,7213,4,1388.4170666666666,5.733333333333333
2022,8,1,4,1388,1438,77895.14,60,330,68.71,1,12269,3,1298.2523333333334,5.5
2025,12,2,2,9394,10078,82633.32,120,699,984.96,1,4241,4,688.6110000000001,5.825
2022,2,3,3,13191,13201,89537.34,82,464,918.09,1,6872,1,1091.9187804878047,5.658536585365853
2018,11,0,2,7542,7881,94995.65,60,348,393.69,1,11352,4,1583.2608333333333,5.8
2019,2,2,4,6476,7157,78751.21,75,431,418.67,0,3088,1,1050.0161333333335,5.746666666666667
2023,6,1,4,9414,10245,59743.15,60,330,465.99,0,5943,2,995.7191666666666,5.5
2017,1,1,0,6240,6540,83350.59,120,673,629.93,1,10685,1,694.58825,5.608333333333333
2018,10,1,4,11109,11914,119082.72,82,481,801.51,1,5983,4,1452.2282926829268,5.865853658536586
2021,1,0,3,10798,11052,98343.59,120,690,1117.59,2,10807,1,819.5299166666666,5.75
2019,5,0,4,12863,13082,95073.56,82,485,935.78,1,9928,2,1159.4336585365854,5.914634146341464
2024,12,1,1,5881,6734,106798.53,120,666,587.51,0,4461,4,889.98775,5.55
2025,7,2,2,17474,19836,68258.46,120,712,1866.22,1,10730,3,568.8205,5.933333333333334
2024,8,2,0,7408,8406,90693.75,100,567,630.05,0,5791,3,906.9375,5.67
2025,1,3,2,5949,6096,64285.11,120,701,625.54,0,14004,1,535.70925,5.841666666666667
2024,4,0,2,6656,6776,110526.14,75,431,430.31,0,9865,2,1473.6818666666666,5.746666666666667
2015,6,2,4,22315,22673,81318.87,82,472,1579.9,1,5909,2,991.6935365853658,5.7560975609756095
2022,6,1,4,13128,13872,50567.57,120,660,1299.67,0,8526,2,421.39641666666665,5.5
2016,3,3,1,15502,16256,75652.31,100,569,1323.1,0,11345,1,756.5231,5.69
2024,8,0,3,13506,13585,119158.79,82,478,968.38,0,11173,3,1453.155975609756,5.829268292682927
2018,4,1,3,21473,24427,78461.34,60,334,1075.8,1,11576,2,1307.6889999999999,5.566666666666666
2025,1,2,2,9133,10371,113498.22,60,350,479.48,2,14114,1,1891.637,5.833333333333333
2025,4,1,4,12364,13649,110733.32,82,466,864.24,2,3518,2,1350.4063414634147,5.682926829268292
2018,4,0,2,6475,7117,94359.81,120,695,675.02,2,3194,2,786.3317499999999,5.791666666666667
2024,7,2,0,11767,12485,68338.29,82,491,866.64,0,12566,3,833.3937804878047,5.987804878048781
2021,2,1,3,11811,13576,102555.32,82,477,845.08,1,7263,1,1250.6746341463415,5.817073170731708
2022,10,1,4,15676,17413,93764.81,75,449,1055.78,0,9403,4,1250.1974666666667,5.986666666666666
2016,7,1,1,18246,20097,106349.23,75,422,1154.97,0,12900,3,1417.9897333333333,5.626666666666667
2021,4,1,0,11441,11747,55571.17,60,358,614.38,1,6127,2,926.1861666666666,5.966666666666667
2017,4,2,2,5656,5846,96413.3,120,704,597.27,0,13181,2,803.4441666666667,5.866666666666666
2020,10,1,0,11466,11648,84494.69,60,334,574.45,2,14739,4,1408.2448333333334,5.566666666666666
2022,9,3,0,1726,1857,51678.28,82,463,119.87,1,12838,3,630.2229268292683,5.646341463414634
2020,12,1,3,1598,1741,106523.46,60,333,79.82,2,7767,4,1775.391,5.55
2021,6,2,4,3973,4376,70270.79,100,578,344.46,0,3790,2,702.7078999999999,5.78
2015,11,3,4,15813,16654,70106.73,100,564,1337.78,1,5803,4,701.0672999999999,5.64
2019,5,2,3,12584,13581,82708.27,60,333,628.57,1,10794,2,1378.4711666666667,5.55
2022,11,3,2,4638,5271,62220.88,60,338,235.15,1,9202,4,1037.0146666666667,5.633333333333334
2015,7,3,2,7413,7546,112336.91,82,475,528.18,2,11149,3,1369.9623170731709,5.7926829268292686
2016,3,3,4,1386,1511,96774.9,100,580,120.58,0,8561,1,967.7489999999999,5.8
2017,5,2,2,11634,12912,78316.92,60,332,579.37,2,12405,2,1305.282,5.533333333333333
2021,1,0,2,6231,7073,77803.08,60,337,314.98,1,8380,1,1296.718,5.616666666666666
2022,1,0,3,12858,14363,102880.61,120,696,1342.38,2,10521,1,857.3384166666667,5.8
2021,7,2,4,16161,16229,107997.12,75,442,1071.47,2,6108,3,1439.9615999999999,5.8933333333333335
2016,2,2,2,11459,11511,115166.41,120,701,1204.91,2,11118,1,959.7200833333334,5.841666666666667
2023,3,0,1,13511,14683,98246.08,60,333,674.87,1,12853,1,1637.4346666666668,5.55
2016,1,2,1,14314,16247,79520.46,100,563,1208.82,1,10108,1,795.2046,5.63
2016,7,3,2,9463,10543,52471.79,75,440,624.56,2,5429,3,699.6238666666667,5.866666666666666
2019,3,0,2,6614,6653,51529.27,120,706,700.42,1,4613,1,429.4105833333333,5.883333333333334
2025,1,0,1,15910,17075,68122.21,82,481,1147.91,2,11659,1,830.7586585365855,5.865853658536586
2022,1,3,0,17648,18986,107197.15,75,444,1175.36,1,10387,1,1429.2953333333332,5.92
2017,8,1,0,10232,11717,54659.53,60,349,535.65,1,3889,3,910.9921666666667,5.816666666666666
2020,11,1,3,8939,9066,118310.96,100,564,756.24,0,8085,4,1183.1096,5.64
2022,3,3,1,6634,7029,89992.4,60,358,356.25,0,9200,1,1499.8733333333332,5.966666666666667
2019,1,0,2,4532,4860,80040.46,120,664,451.39,0,4273,1,667.0038333333334,5.533333333333333
2016,3,1,1,15537,17431,100268.62,100,597,1391.34,1,3218,1,1002.6862,5.97
2019,4,1,0,10842,12009,76043.05,120,665,1081.49,0,8494,2,633.6920833333334,5.541666666666667
2018,8,1,3,15325,15719,86265.42,82,459,1055.13,1,6399,3,1052.0173170731707,5.597560975609756
2023,3,0,4,9545,10805,112142.75,82,490,701.56,0,13412,1,1367.594512195122,5.975609756097561
2025,6,3,0,8313,8403,89817.31,75,433,539.93,1,13199,2,1197.5641333333333,5.773333333333333
2016,10,3,4,8787,9766,53370.0,120,714,941.09,2,13227,4,444.75,5.95
2023,5,2,3,6438,6827,64542.45,100,582,562.04,1,13454,2,645.4245,5.82
2022,4,1,3,7427,7905,78551.94,75,416,463.44,0,11113,2,1047.3592,5.546666666666667
2023,1,2,2,7039,7539,77416.66,60,357,376.94,1,4507,1,1290.2776666666666,5.95
2015,9,3,3,7705,7747,83044.69,82,474,547.83,2,3788,3,1012.7401219512195,5.780487804878049
2015,4,1,2,10522,11561,61405.41,82,453,714.97,0,10709,2,748.8464634146342,5.524390243902439
2022,8,2,2,11018,11192,96536.54,100,564,932.12,2,5387,3,965.3653999999999,5.64
2021,11,2,1,10128,11258,85225.34,120,664,1008.75,2,11682,4,710.2111666666666,5.533333333333333
2018,2,3,3,3942,4239,101204.05,120,717,423.96,2,5645,1,843.3670833333333,5.975
2020,7,2,0,20003,22003,69900.18,60,347,1041.16,1,10041,3,1165.003,5.783333333333333
2023,9,0,1,13194,14916,75161.15,82,488,965.8,2,11383,3,916.5993902439023,5.951219512195122
2015,12,0,2,5915,5988,97634.95,82,477,423.22,2,6279,4,1190.6701219512195,5.817073170731708
2022,4,2,1,5781,6585,81786.76,120,704,610.47,0,7406,2,681.5563333333333,5.866666666666666
2023,1,1,0,9902,10828,82222.5,60,331,491.63,0,3173,1,1370.375,5.516666666666667
2020,7,3,1,15597,17814,83261.96,75,424,991.97,0,12195,3,1110.1594666666667,5.653333333333333
2021,7,3,4,477,539,63480.71,82,455,32.56,2,13773,3,774.155,5.548780487804878
2025,6,3,4,15994,16261,63100.15,60,345,827.69,0,13189,2,1051.6691666666668,5.75
2018,9,1,0,13280,14227,109436.86,60,341,679.27,2,5019,3,1823.9476666666667,5.683333333333334
2020,3,2,2,10855,11166,105335.95,75,429,698.52,0,6619,1,1404.4793333333332,5.72
2020,10,0,4,13412,14022,75380.82,75,414,832.89,2,14872,4,1005.0776000000001,5.52
2016,7,0,0,10563,11036,115847.55,120,675,1069.5,0,8155,3,965.39625,5.625
2023,8,2,2,14551,16389,66100.03,100,550,1200.46,1,10815,3,661.0003,5.5
2025,8,1,4,11152,11731,104207.9,75,422,705.92,0,6943,3,1389.4386666666667,5.626666666666667
2020,10,3,3,11801,12368,88663.66,60,331,585.92,1,3526,4,1477.7276666666667,5.516666666666667
2016,3,2,3,7228,7951,56687.47,120,697,755.69,1,8421,1,472.3955833333333,5.808333333333334
2017,6,2,4,10303,10612,93174.85,100,587,907.18,2,11855,2,931.7485,5.87
2021,11,0,1,9950,10746,60068.41,75,412,614.91,0,12697,4,800.9121333333334,5.493333333333333
2018,2,0,1,12334,14166,51803.87,82,475,878.8,1,10914,1,631.754512195122,5.7926829268292686
2015,5,2,0,7602,8738,88880.22,120,706,805.05,2,14337,2,740.6685,5.883333333333334
2021,6,0,2,5451,5887,107666.12,60,333,272.28,1,14316,2,1794.4353333333333,5.55
2020,7,0,0,12018,12650,76376.74,100,576,1038.36,0,3002,3,763.7674000000001,5.76
2018,1,2,1,8629,9169,58145.09,120,696,900.87,2,14261,1,484.5424166666666,5.8
2019,5,0,2,7384,7641,84440.12,100,565,625.79,2,5181,2,844.4011999999999,5.65
2020,10,3,2,10348,10789,53294.28,100,583,904.93,1,13353,4,532.9428,5.83
2017,3,1,0,15491,16526,64642.98,100,552,1282.65,1,13123,1,646.4298,5.52
2020,9,2,0,7584,8336,80383.42,100,590,671.18,0,13866,3,803.8342,5.9
2018,7,1,2,12659,12998,105825.98,60,350,664.6,0,9563,3,1763.7663333333333,5.833333333333333
2024,9,3,1,19606,21050,97773.53,100,555,1632.2,1,6940,3,977.7352999999999,5.55
2017,8,2,1,11639,12722,101957.72,75,418,729.77,0,5339,3,1359.4362666666666,5.573333333333333
2024,9,3,4,4373,4733,68988.8,120,696,456.54,1,14726,3,574.9066666666666,5.8
2015,10,1,2,20529,20625,68358.48,120,695,2140.15,0,3617,4,569.654,5.791666666666667
2023,8,3,2,10325,10679,58513.6,82,465,720.17,2,6065,3,713.580487804878,5.670731707317073
2021,9,1,3,7322,7942,110107.04,82,455,499.73,0,12427,3,1342.7687804878049,5.548780487804878
2024,5,0,2,10131,10941,57004.53,100,579,879.88,1,12340,2,570.0453,5.79
2018,10,3,4,9362,10646,109071.56,60,352,494.31,1,5013,4,1817.8593333333333,5.866666666666666
2022,9,3,3,13861,14807,98865.2,120,683,1420.06,1,4918,3,823.8766666666667,5.691666666666666
2023,1,1,2,12892,13400,52502.39,82,479,926.29,1,8905,1,640.2730487804878,5.841463414634147
2024,8,3,0,8278,9039,69077.18,100,563,699.08,0,4362,3,690.7718,5.63
2020,2,2,1,9463,10065,100028.73,82,475,674.24,1,6587,1,1219.8625609756098,5.7926829268292686
2017,2,0,1,5991,6294,51352.93,75,417,374.74,0,7963,1,684.7057333333333,5.56
2023,7,0,1,12374,13714,55953.05,75,420,779.56,0,3105,3,746.0406666666667,5.6
2020,4,1,2,14810,16490,105589.42,75,431,957.47,2,13736,2,1407.8589333333332,5.746666666666667
2021,6,0,0,4618,5183,106179.25,120,689,477.27,2,6581,2,884.8270833333333,5.741666666666666
2024,3,1,1,13755,14448,70602.52,75,445,918.15,2,12563,1,941.3669333333333,5.933333333333334
2017,7,1,3,8880,9964,97959.4,82,455,606.06,2,6470,3,1194.6268292682926,5.548780487804878
2025,8,0,1,9563,10105,102342.21,82,488,700.01,0,12059,3,1248.0757317073171,5.951219512195122
2019,3,3,0,12106,13118,53822.72,75,448,813.52,2,9151,1,717.6362666666666,5.973333333333334
2015,8,0,1,10516,11614,114574.96,100,585,922.78,1,4830,3,1145.7496,5.85
2022,3,2,3,11191,12382,116541.44,120,674,1131.41,0,11953,1,971.1786666666667,5.616666666666666
2016,8,3,1,11469,11581,84129.98,120,662,1138.87,2,3751,3,701.0831666666667,5.516666666666667
2023,5,0,0,8494,9483,93809.27,120,684,871.48,1,6048,2,781.7439166666667,5.7
2018,1,0,1,8115,9095,72972.56,75,420,511.24,0,4016,1,972.9674666666666,5.6
2019,5,3,1,6829,7204,77364.22,120,718,735.48,2,14455,2,644.7018333333333,5.983333333333333
2020,3,3,1,10391,11708,105935.75,120,690,1075.47,2,5794,1,882.7979166666667,5.75
2025,1,1,1,14788,15440,103431.57,60,352,780.81,2,5949,1,1723.8595,5.866666666666666
2015,2,3,4,8689,8698,85752.31,120,685,892.79,0,5665,1,714.6025833333333,5.708333333333333
2015,8,2,4,787,894,75367.57,75,434,51.23,0,10587,3,1004.9009333333335,5.786666666666667
2022,1,3,1,10388,10764,111340.46,60,330,514.21,1,11789,1,1855.6743333333334,5.5
2023,12,3,3,11355,11397,76378.49,75,446,759.65,0,6295,4,1018.3798666666668,5.946666666666666
2016,5,0,1,364,393,65064.13,120,660,36.04,1,5894,2,542.2010833333333,5.5
2024,8,1,3,10413,10457,51043.72,60,333,520.13,2,6019,3,850.7286666666666,5.55
2025,7,3,4,12448,12992,66408.4,60,345,644.18,0,4370,3,1106.8066666666666,5.75
2023,5,3,3,9251,9823,103497.19,82,474,657.75,1,3852,2,1262.1608536585366,5.780487804878049
2016,11,3,0,9155,10186,54970.54,82,454,623.46,1,7257,4,670.3724390243902,5.536585365853658
2025,10,1,3,9986,10201,96271.89,60,349,522.77,0,13175,4,1604.5315,5.816666666666666
2021,9,3,3,3727,3854,50806.82,120,667,372.89,2,6711,3,423.3901666666667,5.558333333333334
2018,11,0,3,7901,8031,111857.88,82,465,551.09,1,11206,4,1364.1204878048782,5.670731707317073
2017,9,3,3,12043,13481,69036.22,120,701,1266.32,0,6168,3,575.3018333333333,5.841666666666667
2024,10,0,2,10792,10895,100028.12,82,472,764.07,1,13810,4,1219.8551219512194,5.7560975609756095
2016,4,0,1,8734,9416,93651.0,60,332,434.95,2,12063,2,1560.85,5.533333333333333
2016,6,0,1,7667,8535,82237.76,60,355,408.27,0,11741,2,1370.6293333333333,5.916666666666667
2017,4,1,4,9489,10197,64327.61,60,347,493.9,0,5233,2,1072.1268333333333,5.783333333333333
2021,4,0,1,11991,12463,58532.24,120,690,1241.07,2,10023,2,487.76866666666666,5.75
2023,1,0,3,10406,11745,77396.47,60,356,555.68,0,5882,1,1289.9411666666667,5.933333333333334
2023,9,2,1,12121,13398,52940.4,120,714,1298.16,0,8813,3,441.17,5.95
2023,11,2,3,10530,10951,80810.09,75,442,698.14,1,10316,4,1077.4678666666666,5.8933333333333335
2016,4,1,1,14910,17133,96328.74,100,577,1290.46,0,11767,2,963.2874,5.77
2016,3,1,3,12255,12614,50529.4,75,436,801.48,0,13776,1,673.7253333333333,5.8133333333333335
2017,11,0,0,7450,7962,74585.36,120,665,743.14,1,8833,4,621.5446666666667,5.541666666666667
2023,1,2,4,8340,9123,100931.53,100,583,729.33,0,8646,1,1009.3153,5.83
2017,8,0,2,14800,15762,119802.76,82,473,1050.06,0,6853,3,1461.009268292683,5.7682926829268295
2025,4,0,2,8531,9254,94611.34,120,704,900.87,1,5172,2,788.4278333333333,5.866666666666666
2023,6,3,1,9176,10500,95752.21,82,485,667.55,2,9302,2,1167.7098780487806,5.914634146341464
2019,7,0,0,11985,13202,97786.98,60,348,625.62,0,6193,3,1629.783,5.8
2022,9,1,3,8462,9003,88641.27,60,336,426.48,2,11922,3,1477.3545000000001,5.6
2022,2,0,0,6490,6571,53659.35,60,337,328.07,1,3890,1,894.3225,5.616666666666666
2020,11,2,4,7457,7607,95132.97,75,425,475.38,2,11495,4,1268.4396,5.666666666666667
2023,12,0,3,8534,8672,85621.34,75,429,549.16,2,14418,4,1141.6178666666667,5.72
2024,5,1,3,8375,9325,71668.72,82,488,613.05,0,10880,2,874.0087804878049,5.951219512195122
2019,1,2,4,9910,11266,92725.41,60,346,514.33,2,5996,1,1545.4235,5.766666666666667
2023,3,2,3,4694,4872,110345.89,82,487,342.9,2,5329,1,1345.6815853658536,5.939024390243903
2025,10,3,4,5998,6291,59349.08,60,344,309.5,1,11960,4,989.1513333333334,5.733333333333333
2021,1,2,3,7651,8241,64010.79,75,424,486.6,1,10101,1,853.4772,5.653333333333333
2021,9,0,1,7479,7809,51068.54,82,460,516.05,1,6383,3,622.7870731707317,5.609756097560975
2015,1,0,4,12446,13885,55183.13,60,340,634.75,2,4390,1,919.7188333333332,5.666666666666667
2018,8,0,4,9090,9771,97242.52,82,460,627.21,1,12096,3,1185.8843902439025,5.609756097560975
2019,7,1,3,8165,8713,78383.02,60,359,439.69,2,6506,3,1306.3836666666668,5.983333333333333
2018,5,1,4,16359,17254,94867.59,82,470,1153.31,2,5279,2,1156.9218292682926,5.7317073170731705
2024,7,3,3,14181,15135,118547.38,82,490,1042.3,0,6949,3,1445.699756097561,5.975609756097561
2017,2,0,0,12861,13866,118320.97,75,417,804.46,1,3203,1,1577.6129333333333,5.56
2016,9,1,0,12186,13009,102417.84,75,436,796.96,1,10451,3,1365.5711999999999,5.8133333333333335
2020,1,2,1,12862,12915,67265.95,100,572,1103.56,0,10542,1,672.6595,5.72
2016,4,0,4,9390,9760,75209.55,75,415,584.53,1,14243,2,1002.794,5.533333333333333
2023,8,0,1,9162,9238,69917.84,120,709,974.38,2,3958,3,582.6486666666666,5.908333333333333
2019,3,2,3,7494,7784,72152.0,120,665,747.53,0,6638,1,601.2666666666667,5.541666666666667
2018,9,0,2,10714,11018,100426.88,82,471,756.94,2,10251,3,1224.7180487804878,5.7439024390243905
2019,5,3,0,5490,5540,99109.57,75,412,339.28,2,7910,2,1321.4609333333335,5.493333333333333
2019,8,1,2,7717,8834,114107.0,100,575,665.59,2,12541,3,1141.07,5.75
2016,8,3,3,303,318,112988.33,60,330,15.0,2,10965,3,1883.1388333333334,5.5
2024,7,0,1,5162,5789,80595.47,75,417,322.88,2,9773,3,1074.6062666666667,5.56
